topic_numbers: [2, 30] (step 2)
chunksize: [20, 40, 60, 80, 100]
passes: [10, 20, 40, 80]
Num Topics: 8, Chucksize: 40, Passes: 20, Coherence Score: 0.3573012699158373
Num Topics: 8, Chucksize: 40, Passes: 10, Coherence Score: 0.3563774465841581
Num Topics: 4, Chucksize: 60, Passes: 80, Coherence Score: 0.351599278092498
Num Topics: 8, Chucksize: 40, Passes: 40, Coherence Score: 0.3505301567589164
Num Topics: 2, Chucksize: 80, Passes: 10, Coherence Score: 0.34766769752805776
Num Topics: 4, Chucksize: 60, Passes: 40, Coherence Score: 0.3455404849430897
Num Topics: 4, Chucksize: 40, Passes: 20, Coherence Score: 0.3442193599578521
Num Topics: 16, Chucksize: 20, Passes: 20, Coherence Score: 0.34289870145558904
Num Topics: 8, Chucksize: 20, Passes: 10, Coherence Score: 0.3426400647340425
Num Topics: 4, Chucksize: 20, Passes: 20, Coherence Score: 0.34178247228311776
Num Topics: 16, Chucksize: 20, Passes: 10, Coherence Score: 0.3410354862680417
Num Topics: 4, Chucksize: 20, Passes: 10, Coherence Score: 0.34093969110870204
Num Topics: 16, Chucksize: 20, Passes: 40, Coherence Score: 0.34087143615058335
Num Topics: 16, Chucksize: 20, Passes: 80, Coherence Score: 0.34067941359735365
Num Topics: 4, Chucksize: 20, Passes: 40, Coherence Score: 0.3406699147113321
Num Topics: 4, Chucksize: 20, Passes: 80, Coherence Score: 0.3406699147113321
Num Topics: 8, Chucksize: 20, Passes: 40, Coherence Score: 0.34057465156908856
Num Topics: 8, Chucksize: 20, Passes: 20, Coherence Score: 0.33768925229478286
Num Topics: 8, Chucksize: 20, Passes: 80, Coherence Score: 0.3361282012411855
Num Topics: 8, Chucksize: 40, Passes: 80, Coherence Score: 0.3355531243372638
Num Topics: 4, Chucksize: 40, Passes: 10, Coherence Score: 0.33189165534615556
Num Topics: 4, Chucksize: 40, Passes: 40, Coherence Score: 0.33072175910188484
Num Topics: 4, Chucksize: 40, Passes: 80, Coherence Score: 0.32934908584235595
Num Topics: 6, Chucksize: 40, Passes: 40, Coherence Score: 0.3200299916649913
Num Topics: 6, Chucksize: 40, Passes: 10, Coherence Score: 0.31643241403538064
Num Topics: 6, Chucksize: 40, Passes: 20, Coherence Score: 0.3160142825201085
Num Topics: 6, Chucksize: 40, Passes: 80, Coherence Score: 0.3114969007972909
Num Topics: 6, Chucksize: 20, Passes: 40, Coherence Score: 0.3099278867417513
Num Topics: 6, Chucksize: 20, Passes: 10, Coherence Score: 0.3097635221849698
Num Topics: 6, Chucksize: 20, Passes: 20, Coherence Score: 0.30666444445633023
Num Topics: 6, Chucksize: 20, Passes: 80, Coherence Score: 0.29688625838585364
